Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 2~String~Supplier 2~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 2~String~Supplier Part Number 2~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 2~Integer~Supplier Stock 2~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Communications.PrjPcb|ReportField=ProjectFullPath~P:\wacky_race_team7\Communications_Board\Communications.PrjPcb|ReportField=Title~Bill of Materials For Project [Communications.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~96|ReportField=ReportTime~3:33:54 PM|ReportField=ReportDate~3/20/2017|ReportField=ReportDateTime~3/20/2017 3:33:54 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~ECE Department|ReportField=Address2~University of Canterbury|ReportField=Address3~Christchurch 8041|ReportField=Address4~New Zealand|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~3/20/2017|ReportField=CurrentTime~3:13:34 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~P:\wacky_race_team7\Communications_Board\Communications_Board.SchDoc|ReportField=DocumentName~Communications_Board.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Igor Bubanja, TIm Oorschot|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~3/20/2017|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.97:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4 (210 x 297 mm):PaperIndex=9|ReportField=ProjectName~Communications.PrjPcb|ReportField=Revision~3|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~Communications Board|ReportField=DataSourceFileName~Communications.PrjPcb|ReportField=DataSourceFullPath~P:\wacky_race_team7\Communications_Board\Communications.PrjPcb
34|PA11|Test Point 2.0X0.9X1.2mm SMD|TP6|TP_0805|TP_0805|1|Digi-Key||A106144CT-ND||48483|
35|nRST|Test Point 2.0X0.9X1.2mm SMD|TP7|TP_0805|TP_0805|1|Digi-Key||A106144CT-ND||48483|
36|TDO|Test Point 2.0X0.9X1.2mm SMD|TP8|TP_0805|TP_0805|1|Digi-Key||A106144CT-ND||48483|
37|TCK|Test Point 2.0X0.9X1.2mm SMD|TP9|TP_0805|TP_0805|1|Digi-Key||A106144CT-ND||48483|
38|TMS|Test Point 2.0X0.9X1.2mm SMD|TP10|TP_0805|TP_0805|1|Digi-Key||A106144CT-ND||48483|
39|TDI|Test Point 2.0X0.9X1.2mm SMD|TP11|TP_0805|TP_0805|1|Digi-Key||A106144CT-ND||48483|
40|V_Bus|Test Point 2.0X0.9X1.2mm SMD|TP12, TP26|TP_0805|TP_0805|2|Digi-Key||A106144CT-ND||48483|
41|Gnd|Test Point 2.0X0.9X1.2mm SMD|TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP29, TP30, TP31|TP_0805|TP_0805|16|Digi-Key||A106144CT-ND||48483|
42|VddOut|Test Point 2.0X0.9X1.2mm SMD|TP28|TP_0805|TP_0805|1|Digi-Key||A106144CT-ND||48483|
43|ATSAM4S8BA-ANR|IC MCU 32BIT 512KB FLASH 64LQFP|U1|LQFP64_L|SE_ATSAM4S16BA-MU|1|Digi-Key||ATSAM4S8BA-ANRCT-ND||0|
44|TSOP6136TR|Infrared Receiver 36KHz|U2|TSOP61|TSOP6136TR|1|Farnell|Digi-Key|1779685|TSOP6136TR-ND||0
45|TLV70233DBVR|IC REG LDO 3.3V 0.3A SOT23-5|U3, U4|SOT95P280X145-5N|SV_TLV70233DBVR|2|Digi-Key||296-32415-1-ND||27296|
46|18.432MHz|18.432 MHZ 4PF  6.0X3.5mm SMD|Y1|6.0X3.5-4|XT_CRYSTAL_18.432MHz_13pF|1|Digi-Key||CTX668CT-ND||913|
